method_key,method,section,kind,file,route,group,seed,has_ground_truth,steps,extinctions,final_x,final_y,trajectory,rmse_m,mean_error_m,max_error_m,excluded_points,held_end_points
C_adaptive,移動様態適応PF,7.3,main,pdr_log_0805_1441.csv,,h0,100.0,False,79,0.0,613.3,51.1,C:\Users\satos\i22satou\pdr_program\results\20260924_120622_evaluation_0805check_recovery\runs\C_adaptive\seed-100\pdr_log_0805_1441_traj_none-manual_android-walking_seed-100.csv,,,,,
C_adaptive,移動様態適応PF,7.3,main,pdr_log_0805_1441.csv,,h0,777.0,False,79,0.0,607.1,56.2,C:\Users\satos\i22satou\pdr_program\results\20260924_120622_evaluation_0805check_recovery\runs\C_adaptive\seed-777\pdr_log_0805_1441_traj_none-manual_android-walking_seed-777.csv,,,,,
C_adaptive,移動様態適応PF,7.3,main,pdr_log_0805_1441.csv,,h0,2024.0,False,79,0.0,606.2,51.4,C:\Users\satos\i22satou\pdr_program\results\20260924_120622_evaluation_0805check_recovery\runs\C_adaptive\seed-2024\pdr_log_0805_1441_traj_none-manual_android-walking_seed-2024.csv,,,,,
C_adaptive,移動様態適応PF,7.3,main,pdr_log_0805_1442.csv,,h0,1.0,False,76,1.0,658.7,153.2,C:\Users\satos\i22satou\pdr_program\results\20260924_120622_evaluation_0805check_recovery\runs\C_adaptive\seed-1\pdr_log_0805_1442_traj_none-manual_android-walking_seed-1.csv,,,,,
C_adaptive,移動様態適応PF,7.3,main,pdr_log_0805_1442.csv,,h0,7.0,False,76,3.0,638.5,197.9,C:\Users\satos\i22satou\pdr_program\results\20260924_120622_evaluation_0805check_recovery\runs\C_adaptive\seed-7\pdr_log_0805_1442_traj_none-manual_android-walking_seed-7.csv,,,,,
C_adaptive,移動様態適応PF,7.3,main,pdr_log_0805_1442.csv,,h0,42.0,False,76,1.0,669.7,153.6,C:\Users\satos\i22satou\pdr_program\results\20260924_120622_evaluation_0805check_recovery\runs\C_adaptive\seed-42\pdr_log_0805_1442_traj_none-manual_android-walking_seed-42.csv,,,,,
C_adaptive,移動様態適応PF,7.3,main,pdr_log_0805_1442.csv,,h0,100.0,False,76,1.0,639.1,146.8,C:\Users\satos\i22satou\pdr_program\results\20260924_120622_evaluation_0805check_recovery\runs\C_adaptive\seed-100\pdr_log_0805_1442_traj_none-manual_android-walking_seed-100.csv,,,,,
C_adaptive,移動様態適応PF,7.3,main,pdr_log_0805_1442.csv,,h0,777.0,False,76,1.0,666.7,152.7,C:\Users\satos\i22satou\pdr_program\results\20260924_120622_evaluation_0805check_recovery\runs\C_adaptive\seed-777\pdr_log_0805_1442_traj_none-manual_android-walking_seed-777.csv,,,,,
C_adaptive,移動様態適応PF,7.3,main,pdr_log_0805_1442.csv,,h0,2024.0,False,76,2.0,661.9,151.5,C:\Users\satos\i22satou\pdr_program\results\20260924_120622_evaluation_0805check_recovery\runs\C_adaptive\seed-2024\pdr_log_0805_1442_traj_none-manual_android-walking_seed-2024.csv,,,,,
E_proposed,提案方式,7.4,main,pdr_log_0805_1438.csv,,h0,1.0,False,105,5.0,36.7,236.5,C:\Users\satos\i22satou\pdr_program\results\20260924_120622_evaluation_0805check_recovery\runs\E_proposed\seed-1\pdr_log_0805_1438_traj_enforce-auto_android-walking_seed-1.csv,,,,,
E_proposed,提案方式,7.4,main,pdr_log_0805_1438.csv,,h0,7.0,False,105,5.0,38.1,236.4,C:\Users\satos\i22satou\pdr_program\results\20260924_120622_evaluation_0805check_recovery\runs\E_proposed\seed-7\pdr_log_0805_1438_traj_enforce-auto_android-walking_seed-7.csv,,,,,
