heading_mode,sigma,seed,file,steps,extinctions,valid_ratio,route_ratio,neff_mean,pos_spread_mean,final_x,final_y,endpoint_error_x
walking,300.0,7,pdr_log_0805_1442.csv,76,0,0.819,0.832,325.4,3334.9,653.6,124.9,146.39999999999998
walking,300.0,42,pdr_log_0805_1438.csv,105,0,0.734,0.778,340.8,344.3,54.0,223.5,746.0
walking,300.0,42,pdr_log_0805_1441.csv,79,0,0.797,0.807,319.7,1034.5,559.4,110.4,240.60000000000002
walking,300.0,42,pdr_log_0805_1442.csv,76,0,0.821,0.826,323.9,4354.8,627.7,130.0,172.29999999999995
walking,300.0,100,pdr_log_0805_1438.csv,105,1,0.632,0.689,315.8,247.9,58.8,231.1,741.2
walking,300.0,100,pdr_log_0805_1441.csv,79,0,0.81,0.815,317.9,899.1,642.4,105.7,157.60000000000002
walking,300.0,100,pdr_log_0805_1442.csv,76,0,0.826,0.843,331.3,1792.3,671.4,122.2,128.60000000000002
walking,300.0,777,pdr_log_0805_1438.csv,105,0,0.733,0.783,339.5,427.3,55.0,228.7,745.0
walking,300.0,777,pdr_log_0805_1441.csv,79,0,0.823,0.83,327.3,1113.0,644.5,106.9,155.5
walking,300.0,777,pdr_log_0805_1442.csv,76,0,0.837,0.846,331.7,1386.0,675.8,120.3,124.20000000000005
walking,300.0,2024,pdr_log_0805_1438.csv,105,0,0.726,0.776,337.5,705.4,51.4,227.7,748.6
walking,300.0,2024,pdr_log_0805_1441.csv,79,0,0.817,0.824,321.8,684.7,648.1,106.0,151.89999999999998
walking,300.0,2024,pdr_log_0805_1442.csv,76,0,0.82,0.829,325.0,2485.2,664.2,122.3,135.79999999999995
