# sensitivity_uncertainty_particles.py の出力(本番、6シード)。不確実性適応粒子数の4パラメータのOFAT感度分析、15パラメータ組×seed={1,7,42,100,777,2024}×3ファイル=270行。結論: いずれの軸もベースライン(0.30/0.60/1.5/0.75)を明確に上回らず、初期値は妥当と確認(memo/uncertainty_particles.md、CLAUDE_MEMO.txt §8.2参照)。
combo,seed,file,neff_low_ratio,neff_high_ratio,boost_factor,shrink_factor,steps,extinctions,valid_ratio,route_ratio,neff_mean,pos_spread_mean,final_x,final_y,endpoint_error_x
neff_high_ratio=0.45,7,pdr_log_0805_1441.csv,0.3,0.45,1.5,0.75,143,20,0.222,0.384,115.2,50.1,331.7,224.0,468.3
neff_high_ratio=0.45,7,pdr_log_0805_1442.csv,0.3,0.45,1.5,0.75,131,2,0.653,0.739,261.5,60.7,729.5,116.4,70.5
neff_high_ratio=0.45,42,pdr_log_0805_1438.csv,0.3,0.45,1.5,0.75,197,24,0.393,0.63,191.9,65.5,292.6,236.8,507.4
neff_high_ratio=0.45,42,pdr_log_0805_1441.csv,0.3,0.45,1.5,0.75,143,20,0.239,0.395,124.1,56.5,275.1,225.0,524.9
neff_high_ratio=0.45,42,pdr_log_0805_1442.csv,0.3,0.45,1.5,0.75,131,3,0.63,0.716,247.5,94.9,730.5,130.8,69.5
neff_high_ratio=0.45,100,pdr_log_0805_1438.csv,0.3,0.45,1.5,0.75,197,23,0.388,0.636,197.9,53.4,323.0,235.4,477.0
neff_high_ratio=0.45,100,pdr_log_0805_1441.csv,0.3,0.45,1.5,0.75,143,20,0.254,0.426,132.0,55.8,284.2,224.9,515.8
neff_high_ratio=0.45,100,pdr_log_0805_1442.csv,0.3,0.45,1.5,0.75,131,2,0.638,0.726,250.5,55.2,729.1,118.3,70.89999999999998
neff_high_ratio=0.45,777,pdr_log_0805_1438.csv,0.3,0.45,1.5,0.75,197,23,0.387,0.63,197.9,58.9,375.9,239.9,424.1
neff_high_ratio=0.45,777,pdr_log_0805_1441.csv,0.3,0.45,1.5,0.75,143,20,0.263,0.428,134.4,57.7,307.6,224.4,492.4
neff_high_ratio=0.45,777,pdr_log_0805_1442.csv,0.3,0.45,1.5,0.75,131,2,0.645,0.73,258.7,44.2,735.5,120.4,64.5
neff_high_ratio=0.45,2024,pdr_log_0805_1438.csv,0.3,0.45,1.5,0.75,197,22,0.391,0.631,195.8,57.9,289.6,238.2,510.4
neff_high_ratio=0.45,2024,pdr_log_0805_1441.csv,0.3,0.45,1.5,0.75,143,19,0.232,0.379,119.0,57.7,282.6,223.9,517.4
neff_high_ratio=0.45,2024,pdr_log_0805_1442.csv,0.3,0.45,1.5,0.75,131,3,0.644,0.723,254.9,86.4,741.7,123.6,58.299999999999955
neff_high_ratio=0.5,1,pdr_log_0805_1438.csv,0.3,0.5,1.5,0.75,197,23,0.392,0.641,200.2,52.6,332.6,236.2,467.4
neff_high_ratio=0.5,1,pdr_log_0805_1441.csv,0.3,0.5,1.5,0.75,143,19,0.215,0.373,112.1,58.2,298.8,223.6,501.2
neff_high_ratio=0.5,1,pdr_log_0805_1442.csv,0.3,0.5,1.5,0.75,131,3,0.668,0.744,264.0,81.2,733.8,124.1,66.20000000000005
neff_high_ratio=0.5,7,pdr_log_0805_1438.csv,0.3,0.5,1.5,0.75,197,23,0.381,0.629,196.9,66.9,315.1,238.2,484.9
neff_high_ratio=0.5,7,pdr_log_0805_1441.csv,0.3,0.5,1.5,0.75,143,19,0.225,0.384,112.5,53.4,272.1,224.0,527.9
neff_high_ratio=0.5,7,pdr_log_0805_1442.csv,0.3,0.5,1.5,0.75,131,2,0.633,0.724,254.5,62.0,729.0,118.2,71.0
neff_high_ratio=0.5,42,pdr_log_0805_1438.csv,0.3,0.5,1.5,0.75,197,23,0.374,0.625,195.3,55.2,317.4,238.0,482.6
neff_high_ratio=0.5,42,pdr_log_0805_1441.csv,0.3,0.5,1.5,0.75,143,19,0.223,0.387,120.0,54.5,266.9,222.5,533.1
neff_high_ratio=0.5,42,pdr_log_0805_1442.csv,0.3,0.5,1.5,0.75,131,2,0.631,0.721,255.6,60.4,733.6,120.7,66.39999999999998
neff_high_ratio=0.5,100,pdr_log_0805_1438.csv,0.3,0.5,1.5,0.75,197,23,0.381,0.621,192.9,59.5,316.2,238.6,483.8
neff_high_ratio=0.5,100,pdr_log_0805_1441.csv,0.3,0.5,1.5,0.75,143,20,0.252,0.415,129.2,53.5,265.3,223.0,534.7
neff_high_ratio=0.5,100,pdr_log_0805_1442.csv,0.3,0.5,1.5,0.75,131,2,0.662,0.74,261.5,66.8,727.6,116.4,72.39999999999998
neff_high_ratio=0.5,777,pdr_log_0805_1438.csv,0.3,0.5,1.5,0.75,197,23,0.376,0.605,195.6,49.0,313.5,238.8,486.5
neff_high_ratio=0.5,777,pdr_log_0805_1441.csv,0.3,0.5,1.5,0.75,143,20,0.27,0.445,137.3,50.0,445.5,109.6,354.5
neff_high_ratio=0.5,777,pdr_log_0805_1442.csv,0.3,0.5,1.5,0.75,131,2,0.658,0.749,266.0,56.3,732.9,116.1,67.10000000000002
neff_high_ratio=0.5,2024,pdr_log_0805_1438.csv,0.3,0.5,1.5,0.75,197,22,0.371,0.622,193.7,48.8,349.1,237.3,450.9
neff_high_ratio=0.5,2024,pdr_log_0805_1441.csv,0.3,0.5,1.5,0.75,143,19,0.223,0.38,118.1,55.2,332.9,223.6,467.1
neff_high_ratio=0.5,2024,pdr_log_0805_1442.csv,0.3,0.5,1.5,0.75,131,2,0.642,0.737,261.9,51.4,732.0,120.1,68.0
neff_high_ratio=0.7,1,pdr_log_0805_1438.csv,0.3,0.7,1.5,0.75,197,23,0.368,0.612,199.2,61.2,344.2,238.1,455.8
neff_high_ratio=0.7,1,pdr_log_0805_1441.csv,0.3,0.7,1.5,0.75,143,20,0.244,0.409,127.4,56.8,304.2,223.6,495.8
neff_high_ratio=0.7,1,pdr_log_0805_1442.csv,0.3,0.7,1.5,0.75,131,2,0.674,0.766,288.6,52.5,729.8,115.8,70.20000000000005
neff_high_ratio=0.7,7,pdr_log_0805_1438.csv,0.3,0.7,1.5,0.75,197,24,0.381,0.624,204.9,66.0,376.8,238.3,423.2
neff_high_ratio=0.7,7,pdr_log_0805_1441.csv,0.3,0.7,1.5,0.75,143,21,0.259,0.427,134.1,62.4,281.9,225.2,518.1
neff_high_ratio=0.7,7,pdr_log_0805_1442.csv,0.3,0.7,1.5,0.75,131,2,0.65,0.733,284.5,64.0,732.2,119.2,67.79999999999995
neff_high_ratio=0.7,42,pdr_log_0805_1438.csv,0.3,0.7,1.5,0.75,197,22,0.365,0.614,195.8,61.9,315.0,238.2,485.0
neff_high_ratio=0.7,42,pdr_log_0805_1441.csv,0.3,0.7,1.5,0.75,143,19,0.228,0.39,119.4,46.5,306.2,222.8,493.8
neff_high_ratio=0.7,42,pdr_log_0805_1442.csv,0.3,0.7,1.5,0.75,131,2,0.686,0.772,287.7,41.2,729.0,114.6,71.0
neff_high_ratio=0.7,100,pdr_log_0805_1438.csv,0.3,0.7,1.5,0.75,197,23,0.385,0.625,206.7,51.4,291.3,238.2,508.7
neff_high_ratio=0.7,100,pdr_log_0805_1441.csv,0.3,0.7,1.5,0.75,143,19,0.302,0.46,144.0,48.7,441.3,109.6,358.7
neff_high_ratio=0.7,100,pdr_log_0805_1442.csv,0.3,0.7,1.5,0.75,131,2,0.677,0.765,289.1,31.1,732.3,114.4,67.70000000000005
neff_high_ratio=0.7,777,pdr_log_0805_1438.csv,0.3,0.7,1.5,0.75,197,22,0.376,0.627,205.4,55.4,302.6,240.3,497.4
neff_high_ratio=0.7,777,pdr_log_0805_1441.csv,0.3,0.7,1.5,0.75,143,20,0.266,0.424,137.0,60.2,470.5,108.3,329.5
neff_high_ratio=0.7,777,pdr_log_0805_1442.csv,0.3,0.7,1.5,0.75,131,2,0.674,0.76,283.7,85.8,740.0,116.5,60.0
neff_high_ratio=0.7,2024,pdr_log_0805_1438.csv,0.3,0.7,1.5,0.75,197,22,0.372,0.617,199.3,49.6,383.2,238.2,416.8
neff_high_ratio=0.7,2024,pdr_log_0805_1441.csv,0.3,0.7,1.5,0.75,143,19,0.21,0.363,112.6,48.4,320.8,224.3,479.2
neff_high_ratio=0.7,2024,pdr_log_0805_1442.csv,0.3,0.7,1.5,0.75,131,3,0.654,0.742,283.4,64.3,736.1,115.1,63.89999999999998
neff_high_ratio=0.75,1,pdr_log_0805_1438.csv,0.3,0.75,1.5,0.75,197,22,0.375,0.616,205.1,58.1,340.3,237.6,459.7
neff_high_ratio=0.75,1,pdr_log_0805_1441.csv,0.3,0.75,1.5,0.75,143,19,0.299,0.461,148.2,58.4,456.1,108.7,343.9
neff_high_ratio=0.75,1,pdr_log_0805_1442.csv,0.3,0.75,1.5,0.75,131,2,0.636,0.728,288.7,54.2,731.4,117.7,68.60000000000002
neff_high_ratio=0.75,7,pdr_log_0805_1438.csv,0.3,0.75,1.5,0.75,197,24,0.399,0.632,211.7,68.7,331.8,235.6,468.2
neff_high_ratio=0.75,7,pdr_log_0805_1441.csv,0.3,0.75,1.5,0.75,143,20,0.26,0.423,129.7,57.3,284.6,222.7,515.4
neff_high_ratio=0.75,7,pdr_log_0805_1442.csv,0.3,0.75,1.5,0.75,131,3,0.647,0.743,294.5,65.7,738.0,120.2,62.0
neff_high_ratio=0.75,42,pdr_log_0805_1438.csv,0.3,0.75,1.5,0.75,197,22,0.364,0.616,200.1,55.7,364.8,240.9,435.2
neff_high_ratio=0.75,42,pdr_log_0805_1441.csv,0.3,0.75,1.5,0.75,143,20,0.274,0.454,145.1,59.2,317.9,222.1,482.1
neff_high_ratio=0.75,42,pdr_log_0805_1442.csv,0.3,0.75,1.5,0.75,131,3,0.629,0.729,284.5,58.6,731.0,120.4,69.0
neff_high_ratio=0.75,100,pdr_log_0805_1438.csv,0.3,0.75,1.5,0.75,197,23,0.369,0.623,203.0,54.4,355.5,235.1,444.5
neff_high_ratio=0.75,100,pdr_log_0805_1441.csv,0.3,0.75,1.5,0.75,143,20,0.261,0.421,135.2,54.0,308.2,222.8,491.8
neff_high_ratio=0.75,100,pdr_log_0805_1442.csv,0.3,0.75,1.5,0.75,131,3,0.691,0.774,298.8,78.6,737.6,117.1,62.39999999999998
neff_high_ratio=0.75,777,pdr_log_0805_1438.csv,0.3,0.75,1.5,0.75,197,22,0.376,0.627,205.4,55.4,302.6,240.3,497.4
neff_high_ratio=0.75,777,pdr_log_0805_1441.csv,0.3,0.75,1.5,0.75,143,20,0.266,0.424,137.0,60.2,470.5,108.3,329.5
neff_high_ratio=0.75,777,pdr_log_0805_1442.csv,0.3,0.75,1.5,0.75,131,3,0.667,0.753,294.0,69.8,739.1,115.1,60.89999999999998
neff_high_ratio=0.75,2024,pdr_log_0805_1438.csv,0.3,0.75,1.5,0.75,197,22,0.365,0.627,205.1,53.8,377.4,237.7,422.6
neff_high_ratio=0.75,2024,pdr_log_0805_1441.csv,0.3,0.75,1.5,0.75,143,20,0.223,0.382,117.4,50.2,274.3,222.8,525.7
neff_high_ratio=0.75,2024,pdr_log_0805_1442.csv,0.3,0.75,1.5,0.75,131,2,0.674,0.756,291.5,46.4,734.8,114.7,65.20000000000005
boost_factor=1.2,1,pdr_log_0805_1438.csv,0.3,0.6,1.2,0.75,197,24,0.397,0.628,194.7,75.1,323.8,235.0,476.2
boost_factor=1.2,1,pdr_log_0805_1441.csv,0.3,0.6,1.2,0.75,143,20,0.252,0.418,115.3,55.1,261.6,221.1,538.4
boost_factor=1.2,1,pdr_log_0805_1442.csv,0.3,0.6,1.2,0.75,131,3,0.689,0.773,276.3,72.5,737.8,113.4,62.200000000000045
boost_factor=1.2,7,pdr_log_0805_1438.csv,0.3,0.6,1.2,0.75,197,24,0.383,0.607,187.5,60.9,346.4,238.6,453.6
boost_factor=1.2,7,pdr_log_0805_1441.csv,0.3,0.6,1.2,0.75,143,21,0.25,0.418,116.7,55.0,322.8,222.6,477.2
boost_factor=1.2,7,pdr_log_0805_1442.csv,0.3,0.6,1.2,0.75,131,3,0.664,0.751,267.3,82.6,737.7,117.7,62.299999999999955
boost_factor=1.2,42,pdr_log_0805_1438.csv,0.3,0.6,1.2,0.75,197,24,0.404,0.653,201.4,72.8,312.5,237.4,487.5
