timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,x,y
4.98,-0.17228323,5.3994045,8.206783,-0.12720895,0.19745637,-0.051922016
5.0,-0.43070808,5.428118,8.800203,-0.047798797,0.27197975,-0.034818295
5.021,-0.6269195,5.447261,9.163913,0.036498122,0.26709297,-0.011606098
5.041,-0.85184485,5.528617,9.446265,0.08903099,0.24876754,-6.1084726E-4
5.061,-1.0624132,5.6243296,9.58505,0.109799795,0.23288552,-0.012827792
5.083,-1.2490535,5.8396835,9.666406,0.11835165,0.22677705,-0.023823043
5.104,-1.4356936,6.265606,9.632906,0.13667707,0.22799873,0.018936265
5.124,-1.8520447,6.212964,9.742975,0.103691325,0.29274854,0.108119965
5.145,-2.0721843,6.0023956,10.0779705,0.08903099,0.24510247,0.20585553
5.167,-2.1535404,5.791827,9.958329,-0.0025961008,0.16202724,0.3426853
5.187,-2.239682,5.2031927,10.097114,-0.13087402,0.081395395,0.40010494
5.207,-2.268396,4.7581277,10.044471,-0.19562383,-0.14706148,0.3915531
5.228,-1.942972,4.4662037,9.427123,-0.19440214,-0.34131092,0.31458634
5.25,-1.4931214,4.4662037,8.685348,-0.20661908,-0.30710346,0.24128467
5.271,-1.3974084,4.59063,8.268997,-0.26159534,-0.04688253,0.21929416
5.291,-1.8089739,4.341777,8.618349,-0.27869907,0.23166382,0.21685077
5.312,-2.1535404,4.054638,9.135199,-0.22127941,0.31107396,0.21440738
5.332,-2.3306093,3.9637108,9.513265,-0.075897776,0.20112146,0.21685077
5.352,-2.143969,4.011567,9.40798,0.05482354,-0.0151184695,0.23639789
5.374,-1.7228323,4.1838503,8.556135,0.15133741,-0.20081604,0.25350162
5.394,-1.3639089,4.298706,7.9100733,0.19287503,-0.28999972,0.2522799
5.416,-1.0145568,4.4279184,7.36451,0.20020519,-0.2765611,0.22540264
5.437,-0.7178468,4.6097727,7.0486574,0.18798824,-0.19104248,0.19119519
5.458,-0.57427746,4.715057,6.9481587,0.1537808,-0.059099473,0.15943113
5.48,-0.60777694,4.705486,7.1730843,0.09025268,0.12048962,0.11667182
5.5,-0.95712906,4.6289153,7.77129,0.023059484,0.26342788,0.06658235
5.523,-1.2969099,4.5858445,8.383852,0.0022906773,0.26464957,0.040926766
